1,3255,"Mort,Kris",mort@cpts122.edu,4,CS,Senior,1,2019-4-8,
2,1222,"Willis,Bruce",brucewillis@cpts122.edu,AU,CS,Sophomore,1,2019-4-8,
3,1122,"Smith,Jane",jane@cpts122.edu,4,CS,Sophomore,1,2019-4-8,
4,7759,"Sam,Theo",samt@cpts122.edu,4,EE,Sophomore,0,
5,5530,"Payton,Ella",epayton@cpts122.edu,4,CPTE,Graduate,1,2019-4-8,
6,2121,"James,Hannah",jameshannah@cpts122.edu,4,CS,Freshman,0,
7,4478,"Art,Bruce",bart@cpts122.edu,AU,CPTE,Freshman,1,2019-4-8,
8,1121,"Leinart,Timothy",tim@cpts122.edu,4,EE,Junior,1,2019-4-8,
9,8147,"Beck,Sara",sara@cpts122.edu,4,EE,Junior,1,2019-4-8,
10,1111,"Smith,John",smithj@cpts122.edu,4,CS,Freshman,3,2019-4-6,2019-4-7,2019-4-8,
